question,filed,choice1,choice2,choice3,choice4,answer,title,url
サプライチェーンマネジメントを説明したものはどれか。,経営管理システム,購買，生産，販売及び物流を結ぶ一連の業務を，企業内，企業間で全体最適の視点から見直し，納期短縮や在庫削減を図る。,個人が持っているノウハウや経験などの知的資産を組織全体で共有して，創造的な仕事につなげていく。,社員のスキルや行動特性を把握し，人事戦略の視点から適切な人員配置・評価などのマネジメントを行う。,多様なチャネルを通して集められた顧客情報を一元化し，活用することによって，顧客との関係を密接にしていく。,1,基本情報技術者平成29年秋期 午前問69,https://www.fe-siken.com/kakomon/29_aki/q69.html
コア技術の事例として，適切なものはどれか。,経営戦略手法,アライアンスを組んでインタフェースなどを策定し，共通で使うことを目的とした技術,競合他社がまねできないような，自動車エンジンのアイドリングストップ技術,競合他社と同じCPUコアを採用し，ソフトウェアの移植性を生かす技術,製品の早期開発，早期市場投入を目的として，汎用部品を組み合わせて開発する技術,2,基本情報技術者平成29年秋期 午前問70,https://www.fe-siken.com/kakomon/29_aki/q70.html
工場の機器メンテナンス業務においてIoTを活用した場合の基本要素とデバイス・サービスの例を整理した。ア〜エがa〜dのいずれかに該当するとき，aに該当するものはどれか。,産業機器,異常値判定ツール,機器の温度センサ,工場内無線通信,作業指示用ディスプレイ,2,基本情報技術者平成29年秋期 午前問71,https://www.fe-siken.com/kakomon/29_aki/q71.html
MRPの特徴はどれか。,エンジニアリングシステム,顧客の注文を受けてから製品の生産を行う。,作業指示票を利用して作業指示，運搬指示をする。,製品の開発，設計，生産準備を同時並行で行う。,製品の基準生産計画を基に，部品の手配数量を算出する。,4,基本情報技術者平成29年秋期 午前問72,https://www.fe-siken.com/kakomon/29_aki/q72.html
HEMSの説明として，適切なものはどれか。,民生機器,太陽光発電システム及び家庭用燃料電池が発電した電気を，家庭などで利用できるように変換するシステム,廃棄物の減量及び資源の有効利用推進のために，一般家庭及び事務所から排出された家電製品の有用な部分をリサイクルするシステム,ヒートポンプを利用して，より少ないエネルギーで大きな熱量を発生させる電気給湯システム,複数の家電製品をネットワークでつなぎ，電力の可視化及び電力消費の最適制御を行うシステム,4,基本情報技術者平成29年秋期 午前問73,https://www.fe-siken.com/kakomon/29_aki/q73.html
車載機器の性能の向上に関する記述のうち，ディープラーニングを用いているものはどれか。,民生機器,車の壁への衝突を加速度センサが検知し，エアバッグを膨らませて搭乗者をけがから守った。,システムが大量の画像を取得し処理することによって，歩行者と車をより確実に見分けることができるようになった。,自動でアイドリングストップする装置を搭載することによって，運転経験が豊富な運転者が運転する場合よりも燃費を向上させた。,ナビゲーションシステムが，携帯電話回線を通してソフトウェアのアップデートを行い，地図を更新した。,2,基本情報技術者平成29年秋期 午前問74,https://www.fe-siken.com/kakomon/29_aki/q74.html
CIOが果たすべき主要な役割はどれか。,経営・組織論,情報化戦略を立案するに当たって，経営戦略を支援するために，企業全体の情報資源への投資効果を最適化するプランを策定する。,情報システム開発・運用に関する状況を把握して，全社情報システムが最適に機能するように具体的に改善点を指示する。,情報システムが企業活動に対して健全に機能しているかどうかを監査することによって，情報システム部門にアドバイスを与える。,全社情報システムの最適な運営が行えるように，情報システムに関する問合せやトラブルに関する情報システム部門から報告を受け，担当部門に具体的指示を与える。,1,基本情報技術者平成29年秋期 午前問75,https://www.fe-siken.com/kakomon/29_aki/q75.html
OJTの特徴はどれか。,経営・組織論,一般化された知識や技術に重点を置いた教育が受けられる。,上司や先輩が実務に密着して実践的に知識や技術を教育するので，必要な能力が習得できる。,上司や先輩の資質によらず，一定水準の業務知識が身に付けられる。,職場から離れて教育に専念できる。,2,基本情報技術者平成29年秋期 午前問76,https://www.fe-siken.com/kakomon/29_aki/q76.html
財務諸表のうち，一定時点における企業の資産，負債及び純資産を表示し，企業の財政状態を明らかにするものはどれか。,会計・財務,株主資本等変動計算書,キャッシュフロー計算書,損益計算書,貸借対照表,4,基本情報技術者平成29年秋期 午前問77,https://www.fe-siken.com/kakomon/29_aki/q77.html
表から，期末在庫品を先入先出法で評価した場合の在庫評価額は何千円か。,会計・財務,132,138,150,168,3,基本情報技術者平成29年秋期 午前問78,https://www.fe-siken.com/kakomon/29_aki/q78.html
図は，企業と労働者の関係を表している。企業Bと労働者Cの関係を表す記述として正しいものはどれか。,労働関連・取引関連法規,"""契約""が請負契約で，企業Aが受託者，企業Bが委託者であるとき，企業Bと労働者Cとの間には，指揮命令関係が生じる。","""契約""が出向にかかわる契約で，企業Aが企業Bに労働者Cを出向させたとき，企業Bと労働者Cとの間には指揮命令関係が生じる。","""契約""が労働者派遣契約で，企業Aが派遣元，企業Bが派遣先であるとき，企業Bと労働者Cの間にも，雇用関係が生じる。","""契約""が労働者派遣契約で，企業Aが派遣元，企業Bが派遣先であるとき，企業Bに労働者Cが出向しているといえる。",2,基本情報技術者平成29年秋期 午前問79,https://www.fe-siken.com/kakomon/29_aki/q79.html
訪問販売，通信販売，電話勧誘販売などを対象に，消費者を守るためのクーリングオフなどのルールを定めている法律はどれか。,労働関連・取引関連法規,商法,電子消費者契約法,特定商取引法,不正競争防止法,3,基本情報技術者平成29年秋期 午前問80,https://www.fe-siken.com/kakomon/29_aki/q80.html
