question,filed,choice1,choice2,choice3,choice4,answer,title,url
"ある製品の設定価格と需要の関係が1次式で表せるとき，aに入れる適切な数値はどれか。設定価格を3,000円にすると，需要は0個になる。設定価格を1,000円にすると，需要は60,000個になる。設定価格を1,500円にすると，需要はa個になる。",OR・IE,"30,000","35,000","40,000","45,000",4,基本情報技術者平成30年秋期 午前問68,https://www.fe-siken.com/kakomon/30_aki/q68.html
"T社では3種類の商品A，B，Cを販売している。現在のところ，それぞれの商品には毎月10,000人，20,000人，80,000人の購入者がいる。来年から商品体系を変更して，4種類の新商品P，Q，R，Sを販売する予定である。そこで，既存の顧客が新商品を購入する割合と新規の顧客数を試算した。この試算について，適切な記述はどれか。ここで，表の各行に記載されている小数第1位までの数値が，該当する旧商品から新商品に乗り換える人の割合を表す。",マーケティング,"商品Aの購入者のうち，1,000人が新商品Qを購入すると予想している。",商品Bの購入者は，新商品P，Q，R，Sのどれかを購入すると予想している。,新商品Pの購入見込者の5割は，商品Aの購入者であると予想している。,新商品Sの新規顧客数は，商品Cの購入者のうち新商品Sを購入する人数より少ないと予想している。,4,基本情報技術者平成30年秋期 午前問69,https://www.fe-siken.com/kakomon/30_aki/q69.html
技術は，理想とする技術を目指す過程において，導入期，成長期，成熟期，衰退期，そして次の技術フェーズに移行するという進化の過程をたどる。この技術進化過程を表すものはどれか。,技術開発戦略の立案,技術のSカーブ,需要曲線,バスタブ曲線,ラーニングカーブ,1,基本情報技術者平成30年秋期 午前問70,https://www.fe-siken.com/kakomon/30_aki/q70.html
IoTの構成要素に関する記述として，適切なものはどれか。,産業機器,アナログ式の機器を除く，ディジタル式の機器が対象となる。,インターネット又は閉域網に接続できる全てのものが対象となる。,自律的にデータを収集してデータ分析を行う機器だけが対象となる。,人や生物を除く，形のある全てのものが対象となる。,2,基本情報技術者平成30年秋期 午前問71,https://www.fe-siken.com/kakomon/30_aki/q71.html
ICタグ(RFID)の特徴はどれか。,民生機器,GPSを利用し，現在地の位置情報や属性情報を表示する。,専用の磁気読取り装置に挿入して使用する。,大量の情報を扱うので，情報の記憶には外部記憶装置を使用する。,汚れに強く，記録された情報を梱包の外から読むことができる。,4,基本情報技術者平成30年秋期 午前問72,https://www.fe-siken.com/kakomon/30_aki/q72.html
ネットビジネスでのOtoOの説明はどれか。,e-ビジネス,基本的なサービスや製品を無料で提供し，高度な機能や特別な機能については料金を課金するビジネスモデルである。,顧客仕様に応じたカスタマイズを実現するために，顧客からの注文後に最終製品の生産を始める方式である。,電子商取引で，代金を払ったのに商品が届かない，商品を送ったのに代金が支払われないなどのトラブルが防止できる仕組みである。,モバイル端末などを利用している顧客を，仮想店舗から実店舗に，又は実店舗から仮想店舗に誘導しながら，購入につなげる仕組みである。,4,基本情報技術者平成30年秋期 午前問73,https://www.fe-siken.com/kakomon/30_aki/q73.html
CIOの説明はどれか。,経営・組織論,経営戦略の立案及び業務執行を統括する最高責任者,資金調達，財務報告などの財務面での戦略策定及び執行を統括する最高責任者,自社の技術戦略や研究開発計画の立案及び執行を統括する最高責任者,情報管理，情報システムに関する戦略立案及び執行を統括する最高責任者,4,基本情報技術者平成30年秋期 午前問74,https://www.fe-siken.com/kakomon/30_aki/q74.html
"商品の1日当たりの販売個数の予想確率が表のとおりであるとき，1個当たりの利益を1,000円とすると，利益の期待値が最大になる仕入個数は何個か。ここで，仕入れた日に売れ残った場合，1個当たり300円の廃棄ロスが出るものとする。",OR・IE,4,5,6,7,3,基本情報技術者平成30年秋期 午前問75,https://www.fe-siken.com/kakomon/30_aki/q75.html
連関図法を説明したものはどれか。,OR・IE,事態の進展とともに様々な事象が想定される問題について，対応策を検討して望ましい結果に至るプロセスを定める方法である。,収集した情報を相互の関連によってグループ化し，解決すべき問題点を明確にする方法である。,複雑な要因の絡み合う事象について，その事象間の因果関係を明らかにする方法である。,目的・目標を達成するための手段・方策を順次展開し，最適な手段・方策を追求していく方法である。,3,基本情報技術者平成30年秋期 午前問76,https://www.fe-siken.com/kakomon/30_aki/q76.html
ある商品の前月繰越と受払いが表のとおりであるとき，先入先出法によって算出した当月度の売上原価は何円か。,会計・財務,"26,290","26,450","27,250","27,586",2,基本情報技術者平成30年秋期 午前問77,https://www.fe-siken.com/kakomon/30_aki/q77.html
コンピュータウイルスを作成する行為を処罰の対象とする法律はどれか。,セキュリティ関連法規,刑法,不正アクセス禁止法,不正競争防止法,プロパイダ責任制限法,1,基本情報技術者平成30年秋期 午前問78,https://www.fe-siken.com/kakomon/30_aki/q78.html
"個人情報保護委員会""個人情報の保護に関する法律についてのガイドライン(通則編)平成28年11月(平成29年3月一部改正)""によれば，個人情報に該当しないものはどれか。",セキュリティ関連法規,受付に設置した監視カメラに録画された，本人が判別できる映像データ,個人番号の記載がない，社員に交付する源泉徴収票,指紋認証のための指紋データのバックアップデータ,匿名加工情報に加工された利用者アンケート情報,4,基本情報技術者平成30年秋期 午前問79,https://www.fe-siken.com/kakomon/30_aki/q79.html
請負契約を締結していても，労働者派遣とみなされる受託者の行為はどれか。,労働関連・取引関連法規,休暇取得の承認を発注者側の指示に従って行う。,業務の遂行に関する指導や評価を自ら実施する。,勤務に関する規律や職場秩序の保持を実施する。,発注者の業務上の要請を受託者側の責任者が窓口となって受け付ける。,1,基本情報技術者平成30年秋期 午前問80,https://www.fe-siken.com/kakomon/30_aki/q80.html
