question,filed,choice1,choice2,choice3,choice4,answer,title,url
"""かんばん方式""を説明したものはどれか。",エンジニアリングシステム,各作業の効率を向上させるために，仕様が統一された部品，半製品を調達する。,効率よく部品調達を行うために，関連会社から部品を調達する。,中間在庫を極力減らすために，生産ラインにおいて，後工程の生産に必要な部品だけを前工程から調達する。,より品質が高い部品を調達するために，部品の納入指定業者を複数定め，競争入札で部品を調達する。,3,基本情報技術者令和元年秋期 午前問70,https://www.fe-siken.com/kakomon/01_aki/q70.html
ブロックチェーンによって実現されている仮想通貨マイニングの説明はどれか。,e-ビジネス,仮想通貨取引の確認や記録の計算作業に参加し，報酬として仮想通貨を得る。,仮想通貨を売買することによってキャピタルゲインを得る。,個人や組織に対して，仮想通貨による送金を行う。,実店舗などで仮想通貨を使った支払や決済を行う。,1,基本情報技術者令和元年秋期 午前問71,https://www.fe-siken.com/kakomon/01_aki/q71.html
インターネットを活用した仕組みのうち，クラウドファンディングを説明したものはどれか。,技術開発戦略の立案,Webサイトに公表されたプロジェクトの事業計画に協賛して，そのリターンとなる製品や権利の入手を期待する不特定多数の個人から小口資金を調達すること,Webサイトの閲覧者が掲載広告からリンク先のECサイトで商品を購入した場合，広告主からそのWebサイト運営者に成果報酬を支払うこと,企業などが，委託したい業務内容を，Webサイトで不特定多数の人に告知して募集し，適任と判断した人々に当該業務を発注すること,複数のアカウント情報をあらかじめ登録しておくことによって，一度の認証で複数の金融機関の口座取引情報を一括して表示する個人向けWebサービスのこと,1,基本情報技術者令和元年秋期 午前問72,https://www.fe-siken.com/kakomon/01_aki/q72.html
生産現場における機械学習の活用事例として，適切なものはどれか。,エンジニアリングシステム,工場における不良品の発生原因をツリー状に分解して整理し，アナリストが統計的にその原因や解決策を探る。,工場の生産設備を高速通信で接続し，ホストコンピュータがリアルタイムで制御できるようにする。,工場の生産ロボットに対して作業方法をプログラミングするのではなく，ロボット自らが学んで作業の効率を高める。,累積生産量が倍増するたびに工場従業員の生産性が向上し，一定の比率で単位コストが減少する。,3,基本情報技術者令和元年秋期 午前問73,https://www.fe-siken.com/kakomon/01_aki/q73.html
BCP(事業継続計画)の策定，運用に関する記述として，適切なものはどれか。,経営・組織論,ITに依存する業務の復旧は，技術的に容易であることを基準に優先付けする。,計画の内容は，経営戦略上の重要事項となるので，上級管理者だけに周知する。,計画の内容は，自社組織が行う範囲に限定する。,自然災害に加え，情報システムの機器故障やマルウェア感染も検討範囲に含める。,4,基本情報技術者令和元年秋期 午前問74,https://www.fe-siken.com/kakomon/01_aki/q74.html
CIOの果たすべき役割はどれか。,経営・組織論,各部門の代表として，自部門のシステム化案を情報システム部門に提示する。,情報技術に関する調査，利用研究，関連部門への教育などを実施する。,全社的観点から情報化戦略を立案し，経営戦略との整合性の確認や評価を行う。,豊富な業務経験，情報技術の知識，リーダシップをもち，プロジェクトの運営を管理する。,3,基本情報技術者令和元年秋期 午前問75,https://www.fe-siken.com/kakomon/01_aki/q75.html
製品X及びYを生産するために2種類の原料A，Bが必要である。製品1個の生産に必要となる原料の量と調達可能量は表に示すとおりである。製品XとYの1個当たりの販売利益が，それぞれ100円，150円であるとき，最大利益は何円か。,OR・IE,"5,000","6,000","7,000","8,000",3,基本情報技術者令和元年秋期 午前問76,https://www.fe-siken.com/kakomon/01_aki/q76.html
ROIを説明したものはどれか。,会計・財務,一定期間におけるキャッシュフロー(インフロー，アウトフロー含む)に対して，現在価値でのキャッシュフローの合計値を求めるものである。,一定期間におけるキャッシュフロー(インフロー，アウトフロー含む)に対して，合計値がゼロとなるような，割引率を求めるものである。,投資額に見合うリターンが得られるかどうかを，利益額を分子に，投資額を分母にして算出するものである。,投資による実現効果によって，投資額をどれだけの期間で回収可能かを定量的に算定するものである。,3,基本情報技術者令和元年秋期 午前問77,https://www.fe-siken.com/kakomon/01_aki/q77.html
売上高が100百万円のとき，変動費が60百万円，固定費が30百万円掛かる。変動費率，固定費は変わらないものとして，目標利益18百万円を達成するのに必要な売上高は何百万円か。,会計・財務,108,120,156,180,2,基本情報技術者令和元年秋期 午前問78,https://www.fe-siken.com/kakomon/01_aki/q78.html
シュリンクラップ契約において，ソフトウェアの使用許諾契約が成立するのはどの時点か。,労働関連・取引関連法規,購入したソフトウェアの代金を支払った時点,ソフトウェアの入ったDVD-ROMを受け取った時点,ソフトウェアの入ったDVD-ROMの包装を解いた時点,ソフトウェアをPCにインストールした時点,3,基本情報技術者令和元年秋期 午前問79,https://www.fe-siken.com/kakomon/01_aki/q79.html
ソフトウェアやデータに瑕疵(かし)がある場合に，製造物責任法の対象となるものはどれか。,その他の法律・ガイドライン,ROM化したソフトウェアを内蔵した組込み機器,アプリケーションソフトウェアパッケージ,利用者がPCにインストールしたOS,利用者によってネットワークからダウンロードされたデータ,1,基本情報技術者令和元年秋期 午前問80,https://www.fe-siken.com/kakomon/01_aki/q80.html
